feature	Peptoniphilaceae	Oscillospiraceae	Lachnospiraceae	Campylobacteraceae	Phyllobacteriaceae	Pseudomonadaceae	Peptostreptococcaceae	Streptococcaceae	Clostridiaceae	Veillonellaceae	Enterobacteriaceae	Lactobacillaceae	Eubacteriales_unclassified_order	Anaerovoracaceae	Lysobacteraceae	Bacteroidaceae	Propionibacteriaceae	Moraxellaceae	Rhizobiaceae	Staphylococcaceae	Oxalobacteraceae	Eubacteriales.Family.XIII..Incertae.Sedis	Enterococcaceae	Pasteurellaceae	Planococcaceae	Corynebacteriaceae	Bacillaceae	Brucellaceae	Burkholderiaceae	Gemellaceae	Fusobacteriaceae	Tannerellaceae	Carnobacteriaceae	Prevotellaceae	Porphyromonadaceae	Sphaerotilaceae	Atopobiaceae	Yersiniaceae	Sphingomonadaceae	Aerococcaceae	Natronincolaceae	Erwiniaceae	Acidaminococcaceae	Pectobacteriaceae	Bruguierivoracaceae	Vibrionaceae	Actinomycetaceae	Microbacteriaceae	Morganellaceae	Methylobacteriaceae	Hafniaceae	Methylocystaceae	Comamonadaceae	Burkholderiales_unclassified_order	Selenomonadaceae	Aeromonadaceae	Filifactoraceae	Tissierellaceae	Neisseriaceae	Rhodocyclaceae	Flavobacteriaceae	Listeriaceae	Sterolibacteriaceae	Devosiaceae	Chromobacteriaceae	Weeksellaceae	Alcaligenaceae	Acetobacteraceae	Sphingosinicellaceae	Hyphomicrobiaceae	Micrococcaceae	Caulobacteraceae	Nitrobacteraceae	Nautiliaceae	Zoogloeaceae	Boseaceae	Hyphomicrobiales_unclassified_order	Stappiaceae	Erythrobacteraceae	Gallionellaceae	Nostocaceae	Beijerinckiaceae	Xanthobacteraceae	Blastochloridaceae	Paracoccaceae	Stellaceae	Roseobacteraceae	Azospirillaceae	Betaproteobacteria_unclassified_class	Synechococcaceae	Oscillatoriaceae	Zymomonadaceae	Rhodospirillaceae
2022_11_18_Nct_04_16S_PDA-MAPS	0	0	47	0	40	0	0	12685	0	3217	26	77	0	0	0	0	2	10	0	1	2	0	107	0	1	0	6	1	11447	0	0	0	30	0	0	0	0	1	691	37	0	24	0	0	0	0	7	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	16	0	42	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_11_18_Nct_11_16S_PDA-MAPS	0	0	0	0	31	6	0	13	0	0	1	0	0	0	0	0	0	18	1	25	10	0	0	0	0	0	0	1	272	29	0	0	0	0	0	395	0	22	24	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_11_18_Nct_10_16S_PDA-MAPS	5	0	0	0	4	0	0	1275	0	15	3139	0	0	0	0	0	0	5	0	0	38	0	1	0	0	0	0	0	175	25	0	0	1	0	0	51	0	15	154	1	0	10	0	1	1	1	0	0	2	0	4	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022_11_18_Nct_07_16S_PDA-MAPS	0	0	0	0	4	0	0	13	0	0	0	0	0	0	320	0	0	28	1	119	9	0	0	0	0	0	69	1	12336	0	0	0	0	0	0	326	0	0	2163	0	0	0	0	0	0	0	0	0	0	7	0	0	308	24	0	0	0	0	4	6	0	1	2	0	4	0	6	4	45	0	7	0	276	0	1	6	0	0	36	0	21	0	3	4	6	0	4	3	0	0	0	0	4
2022_11_18_Nct_08_16S_PDA-MAPS	0	0	0	0	0	171	0	4621	0	0	8	179	0	0	0	0	100	477	3	1571	110	0	114	117	0	0	403	1	0	205	0	0	52	0	0	0	0	0	2470	556	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	203	202	5	1	1	56	0	0	0	0	31	0	1	43	0	0	0	0	0	0	5	1	15	0	0	0	264	0	1	0	0	4	1	1	0
2022_11_18_Nct_09_16S_PDA-MAPS	0	711	1116	0	14	7	0	547	23	182	44	0	29	26	0	2	1	0	0	0	30	0	34	0	0	0	1	0	0	0	0	7	0	6	1	0	0	0	113	0	0	1	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2022_11_18_Nct_06_16S_PDA-MAPS	0	0	0	0	13	10	0	0	0	0	0	0	0	0	0	0	0	43	0	0	3	0	0	0	0	2	0	0	4591	0	0	0	0	0	0	0	0	30	5460	0	0	0	0	0	0	0	0	0	1	0	0	0	18	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	97	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	68	0	0	0	0	0	0	1	0
2021_12_13_nct_1_16S_PDA-MAPS	87	601	985	136	153	0	104	5387	14	395	81	101	9	8	0	40	0	118	4	78	4	0	52	53	0	0	7	0	45	12	137	8	3	0	0	2	0	42	55	37	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	21	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
2021_12_13_nct_4_16S_PDA-MAPS	85	184	775	45	109	17	11	1533	13	821	212	3	19	127	19	2	411	1	0	210	8	0	1	2	0	0	0	2	219	0	6	0	0	25	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	12	0	0	0	0	0	0	0	0	7	0	14	0	0	0	0	0	0
2021_12_13_nct_2_16S_PDA-MAPS	0	0	1	0	464	868	1	4644	0	477	1037	433	0	0	0	0	33	1046	2	307	1315	0	27	317	0	0	36	4	850	523	0	0	3	0	0	31	0	4	2	53	0	5	0	1	0	0	9	0	0	0	2	0	187	37	1	0	0	0	16	2	8	0	0	0	0	0	20	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	3030	1	59	0	0	0	0	0	0
