feature,metadata,value,coef,stderr,N,N.not.0,pval,ref_value,pval.adj
Sphingobium__sp.__PAMC28499,Control_type,Paraffin,-0.141975412895035,0.357947561194092,262,27,0.691965254942722,Buffer,0.8414836888504481
Listeria__monocytogenes,Control_type,Paraffin,-0.23369763221647,0.590897579088619,262,31,0.692806242915123,Buffer,0.8414836888504481
Bacillus__amyloliquefaciens,Control_type,Paraffin,0.172859016034695,0.451348405252185,262,39,0.702049771086501,Buffer,0.8472983534805351
Massilia__sp.__Se16.2.3,Control_type,Paraffin,-0.123411723122381,0.32993325955882,262,30,0.708676309670383,Buffer,0.8509044524675172
Sphingomonas__lutea,Control_type,Paraffin,-0.181363028856389,0.486025953535114,262,37,0.709341860199264,Buffer,0.8509044524675172
Staphylococcus__sp.__11.B.312,Control_type,Paraffin,0.127892394894623,0.342313805362805,262,32,0.709002545502411,Buffer,0.8509044524675172
Methylobacterium__oryzae,Control_type,Paraffin,-0.15303357225229,0.414929698097989,262,39,0.712568167037984,Buffer,0.8527518772836037
Finegoldia__magna,Control_type,Paraffin,0.327026278509205,0.902488447429904,262,71,0.71738151820453,Buffer,0.8567365923142001
Staphylococcus__nepalensis,Control_type,Paraffin,-0.12508884412695,0.345478453058647,262,29,0.717595261122124,Buffer,0.8567365923142001
Blastomonas__marina,Control_type,Paraffin,-0.13744201850737,0.394840993345537,262,33,0.728055201589105,Buffer,0.8660938367766384
Staphylococcus__caprae,Control_type,Paraffin,0.278102877500276,0.858624452886818,262,126,0.746283124662169,Buffer,0.8791586615930024
Sphingomonas__profundi,Control_type,Paraffin,-0.139102355456233,0.43628127916545,262,42,0.750110554764579,Buffer,0.8796011620580898
Staphylococcus__auricularis,Control_type,Paraffin,-0.179950756323791,0.567693422976486,262,54,0.751512726285391,Buffer,0.88064138042834506
Mammaliicoccus__sciuri,Control_type,Paraffin,-0.141696232300286,0.477899076739475,262,38,0.767090017422417,Buffer,0.8910999913457175
Staphylococcus__felis,Control_type,Paraffin,0.113172999289971,0.390374865276642,262,32,0.772120901188586,Buffer,0.8934758910269659
Acidovorax__carolinensis,Control_type,Paraffin,-0.147156151872157,0.507845378504131,262,28,0.772230073392159,Buffer,0.8934758910269659
Variovorax__sp.__PAMC26660,Control_type,Paraffin,-0.109207155650072,0.381090364168215,262,28,0.774677207969691,Buffer,0.8934827461667233
Staphylococcus__simulans,Control_type,Paraffin,-0.108664778695191,0.39975671086519,262,40,0.78597391971072,Buffer,0.8984897072799277
Filifactor__alocis,Control_type,Paraffin,0.140808168709763,0.52523117856316,262,33,0.788847481462828,Buffer,0.8997574823393464
Caenibius__sp.__WL,Control_type,Paraffin,0.136965684810227,0.511628001324925,262,68,0.789141494289374,Buffer,0.8997574823393464
Bacillus__subtilis,Control_type,Paraffin,-0.177386360786066,0.693238503904643,262,56,0.798248434527966,Buffer,0.904488088336571
Sphingobium__yanoikuyae,Control_type,Paraffin,-0.161830691958457,0.632381633537054,262,67,0.79822839388406,Buffer,0.904488088336571
Sphingobium__sp.__AP49,Control_type,Paraffin,-0.096688846897787,0.385629357116095,262,36,0.802223986123329,Buffer,0.9066823847281681
Rhodoferax__koreense,Control_type,Paraffin,-0.180437629252877,0.729980890087087,262,52,0.804966029420683,Buffer,0.9088459643227865
Anaerococcus__prevotii,Control_type,Paraffin,0.167907242338553,0.684042219574641,262,64,0.806294408082987,Buffer,0.9096141017005336
Anaerococcus__mediterraneensis,Control_type,Paraffin,0.149992279214451,0.661464220571442,262,63,0.820792916769071,Buffer,0.9205624337205719
Staphylococcus__delphini,Control_type,Paraffin,0.0921328064452787,0.432149845195935,262,48,0.831343430114987,Buffer,0.9295089619541691
Comamonas__antarctica,Control_type,Paraffin,-0.121599997774755,0.57511075760115,262,49,0.832714098491692,Buffer,0.9295089619541691
Methylorubrum__sp.__B1.46,Control_type,Paraffin,-0.1416122744806,0.678600773160832,262,44,0.834861852877705,Buffer,0.9299568655399739
Methylobacterium__organophilum,Control_type,Paraffin,-0.100010770333137,0.492590148140734,262,44,0.839272555802146,Buffer,0.931520361958999
Sphingomonas__ginsengisoli__An__et__al.__2013,Control_type,Paraffin,-0.0981745162130955,0.490339235916459,262,40,0.841469408945252,Buffer,0.9332660717392796
Brucella__anthropi,Control_type,Paraffin,-0.10052264824534,0.513152964510511,262,39,0.844849968125685,Buffer,0.9341174025252026
Methylobacterium__sp.__FF17,Control_type,Paraffin,-0.14533756249394,0.810309752953086,262,41,0.857796522609909,Buffer,0.9407347958879043
Staphylococcus__sp.__IVB6218,Control_type,Paraffin,0.0483576824743084,0.267704846660195,262,27,0.856794603819788,Buffer,0.940589071676374
Delftia__lacustris,Control_type,Paraffin,0.102039863192705,0.588145293956089,262,80,0.862400002640194,Buffer,0.9445538183530504
